v4_gene_model	category	v4_locus	W22.Zm00004b.1.
Zm00001d007632	expressed.endo		Zm00004b010491
Zm00001d007633	expressed.endo		Zm00004b010492
Zm00001d007636	expressed.endo		Zm00004b010496
Zm00001d007638	expressed.endo	pls1	Zm00004b010498
Zm00001d007639	expressed.endo		Zm00004b010499
Zm00001d007640	expressed.endo		Zm00004b010500
Zm00001d007645	expressed.endo		Zm00004b010504
Zm00001d007650	expressed.endo		Zm00004b010507
Zm00001d007652	expressed.endo	fha8	Zm00004b010508
Zm00001d007653	not.endo		Zm00004b010509
Zm00001d007655	expressed.endo		Zm00004b010511
Zm00001d007679	expressed.endo		Zm00004b010540
Zm00001d007682	expressed.endo	IDP114	Zm00004b010550
Zm00001d007686	expressed.endo		Zm00004b010555
Zm00001d007692	expressed.endo		Zm00004b010562
Zm00001d007698	expressed.endo		Zm00004b010563
Zm00001d007706	expressed.endo		Zm00004b010568
Zm00001d007707	not.endo	pmei36	Zm00004b010569
Zm00001d007709	expressed.endo		Zm00004b010571
Zm00001d007710	not.endo		Zm00004b010572
Zm00001d007712	not.endo	pza02727	Zm00004b010573
Zm00001d007713	not.endo	gras14	Zm00004b010574
Zm00001d007718	not.endo	bx13	Zm00004b010580
Zm00001d007725	not.endo		Zm00004b010591
Zm00001d007732	not.endo		Zm00004b010593
Zm00001d007754	expressed.endo		Zm00004b010618
Zm00001d007757	expressed.endo		Zm00004b010621
Zm00001d007758	expressed.endo		Zm00004b010622
Zm00001d007760	expressed.endo		Zm00004b010623
Zm00001d007762	expressed.endo		Zm00004b010625
Zm00001d007764	expressed.endo		Zm00004b010626
Zm00001d007765	expressed.endo		Zm00004b010631
Zm00001d007767	expressed.endo		Zm00004b010632
Zm00001d007769	expressed.endo		Zm00004b010634
Zm00001d007770	expressed.endo		Zm00004b010635
Zm00001d007772	expressed.endo		Zm00004b010636
Zm00001d007774	expressed.endo		Zm00004b010638
Zm00001d007776	expressed.endo	bnlg1893	Zm00004b010641
Zm00001d007778	expressed.endo	IDP171	Zm00004b010643
Zm00001d007781	not.endo		Zm00004b010644
Zm00001d007783	expressed.endo		Zm00004b010646
Zm00001d007784	expressed.endo	c3h4	Zm00004b010649
Zm00001d007785	not.endo		Zm00004b010650
Zm00001d007786	not.endo	ago5b	Zm00004b010651
Zm00001d007788	not.endo		Zm00004b010653
Zm00001d007790	expressed.endo		Zm00004b010655
Zm00001d007799	expressed.endo		Zm00004b010661
Zm00001d007801	expressed.endo		Zm00004b010663
Zm00001d007802	expressed.endo		Zm00004b010664
Zm00001d007803	not.endo		Zm00004b010665
Zm00001d007807	expressed.endo		Zm00004b010667
Zm00001d007820	expressed.endo		Zm00004b010677
Zm00001d007822	expressed.endo		Zm00004b010679
Zm00001d007823	expressed.endo		Zm00004b010680
Zm00001d007824	expressed.endo		Zm00004b010681
Zm00001d007825	expressed.endo		Zm00004b010682
Zm00001d007826	expressed.endo	TIDP2776	Zm00004b010683
Zm00001d007832	not.endo		Zm00004b010689
Zm00001d007835	expressed.endo		Zm00004b010690
Zm00001d007837	expressed.endo		Zm00004b010692
Zm00001d007839	expressed.endo		Zm00004b010764
Zm00001d007840	not.endo	ereb41	Zm00004b010762
Zm00001d007842	not.endo	gn1	Zm00004b010761
Zm00001d007843	not.endo		Zm00004b010760
Zm00001d007844	not.endo	bnl17.14	Zm00004b010758
Zm00001d007845	not.endo		Zm00004b010757
Zm00001d007848	not.endo		Zm00004b010755
Zm00001d007849	expressed.endo		Zm00004b010754
Zm00001d007853	expressed.endo		Zm00004b010752
Zm00001d007858	expressed.endo		Zm00004b010750
Zm00001d007862	expressed.endo	pan2	Zm00004b010749
Zm00001d007871	expressed.endo		Zm00004b010742
Zm00001d007876	not.endo	nced4	Zm00004b010738
Zm00001d007877	expressed.endo		Zm00004b010737
Zm00001d007878	not.endo		Zm00004b010736
Zm00001d007881	expressed.endo		Zm00004b010735
Zm00001d007884	expressed.endo		Zm00004b010733
Zm00001d007885	not.endo		Zm00004b010732
Zm00001d007886	expressed.endo		Zm00004b010731
Zm00001d007888	expressed.endo	mab14	Zm00004b010814
Zm00001d007889	expressed.endo		Zm00004b010729
Zm00001d007890	expressed.endo	IDP1944	Zm00004b010728
Zm00001d007892	expressed.endo		Zm00004b010726
Zm00001d007894	not.endo	ga20ox2	Zm00004b010724
Zm00001d007896	not.endo		Zm00004b010720
Zm00001d007897	expressed.endo		Zm00004b010719
Zm00001d007898	expressed.endo		Zm00004b010718
Zm00001d007900	expressed.endo		Zm00004b010714
Zm00001d007901	expressed.endo		Zm00004b010706
Zm00001d007902	expressed.endo		Zm00004b010705
Zm00001d007904	expressed.endo		Zm00004b010704
Zm00001d007905	expressed.endo		Zm00004b010703
Zm00001d007907	expressed.endo		Zm00004b010702
Zm00001d007910	not.endo	umc2184	Zm00004b010699
Zm00001d007912	expressed.endo	AY110389	Zm00004b010697
Zm00001d007915	expressed.endo		Zm00004b010696
Zm00001d007918	not.endo	cyp20	Zm00004b010695
Zm00001d007927	expressed.endo		Zm00004b010817
Zm00001d007929	expressed.endo	AY109586	Zm00004b010811
Zm00001d007930	expressed.endo		Zm00004b010810
Zm00001d007934	expressed.endo		Zm00004b010804
Zm00001d007936	expressed.endo	phi101049	Zm00004b010802
Zm00001d007937	expressed.endo	alt8	Zm00004b010801
Zm00001d007938	expressed.endo		Zm00004b010800
Zm00001d007940	expressed.endo		Zm00004b010799
Zm00001d007945	expressed.endo		Zm00004b010796
Zm00001d007947	expressed.endo		Zm00004b010795
Zm00001d007949	not.endo	zap1	Zm00004b010792
Zm00001d007951	expressed.endo	cka1	Zm00004b010791
Zm00001d007954	expressed.endo		Zm00004b010788
Zm00001d007960	expressed.endo		Zm00004b010784
Zm00001d007961	expressed.endo		Zm00004b010782
Zm00001d007962	expressed.endo	glk27	Zm00004b010780
Zm00001d007966	expressed.endo	sudh4	Zm00004b010777
Zm00001d007971	not.endo		Zm00004b010772
Zm00001d007972	expressed.endo		Zm00004b010771
Zm00001d007973	not.endo		Zm00004b010770
Zm00001d007975	expressed.endo		Zm00004b010768
Zm00001d007977	not.endo		Zm00004b010767
Zm00001d007978	expressed.endo	chr101	Zm00004b010766
Zm00001d008173	not.endo		Zm00004b024545
Zm00001d008174	not.endo	ms23	Zm00004b024548
Zm00001d008176	expressed.endo	sbp9	Zm00004b024550
Zm00001d008177	expressed.endo		Zm00004b024551
Zm00001d008178	expressed.endo	pco084581b	Zm00004b024556
Zm00001d008187	not.endo		Zm00004b024557
Zm00001d008189	expressed.endo		Zm00004b024559
Zm00001d008190	expressed.endo	wrky18	Zm00004b024560
Zm00001d008194	not.endo		Zm00004b024562
Zm00001d008196	not.endo		Zm00004b024563
Zm00001d008199	not.endo		Zm00004b024566
Zm00001d008200	expressed.endo	pmpm7	Zm00004b024567
Zm00001d008203	expressed.endo	prpo1	Zm00004b024569
Zm00001d008205	not.endo	pif3	Zm00004b024570
Zm00001d008208	not.endo		Zm00004b024573
Zm00001d008212	expressed.endo		Zm00004b024578
Zm00001d008214	expressed.endo	umc2693	Zm00004b024581
Zm00001d008218	expressed.endo		Zm00004b024586
Zm00001d008219	not.endo		Zm00004b024587
Zm00001d008224	expressed.endo		Zm00004b024590
Zm00001d008225	expressed.endo	bzip72	Zm00004b024591
Zm00001d008226	expressed.endo		Zm00004b024593
Zm00001d008229	not.endo	mybr107	Zm00004b024595
Zm00001d008233	expressed.endo		Zm00004b024598
Zm00001d008235	not.endo		Zm00004b024600
Zm00001d008236	expressed.endo	rz382b	Zm00004b024601
Zm00001d008237	expressed.endo		Zm00004b024602
Zm00001d008238	expressed.endo		Zm00004b024603
Zm00001d008239	expressed.endo		Zm00004b024604
Zm00001d008242	expressed.endo		Zm00004b024608
Zm00001d008248	not.endo		Zm00004b024611
Zm00001d008249	expressed.endo	ago4a	Zm00004b024612
Zm00001d008255	expressed.endo	yuc6	Zm00004b024617
Zm00001d008256	expressed.endo	umc1139	Zm00004b024620
Zm00001d008257	expressed.endo		Zm00004b024621
Zm00001d008258	expressed.endo		Zm00004b024622
Zm00001d008259	expressed.endo		Zm00004b024623
Zm00001d008262	expressed.endo		Zm00004b024625
Zm00001d008264	expressed.endo		Zm00004b024627
Zm00001d008265	not.endo		Zm00004b024628
Zm00001d008266	expressed.endo		Zm00004b024629
Zm00001d008268	expressed.endo	psei4	Zm00004b024630
Zm00001d008269	expressed.endo		Zm00004b024631
Zm00001d008271	expressed.endo	mmp148	Zm00004b024633
Zm00001d008272	not.endo		Zm00004b024634
Zm00001d008278	expressed.endo		Zm00004b024637
Zm00001d008281	expressed.endo		Zm00004b024639
Zm00001d008282	expressed.endo		Zm00004b024641
Zm00001d008284	expressed.endo		Zm00004b024643
Zm00001d008287	expressed.endo		Zm00004b024646
Zm00001d008291	expressed.endo		Zm00004b024651
Zm00001d008293	expressed.endo		Zm00004b024653
Zm00001d008294	expressed.endo		Zm00004b024654
Zm00001d008295	expressed.endo		Zm00004b024655
Zm00001d008296	not.endo		Zm00004b024658
Zm00001d008297	expressed.endo		Zm00004b024659
Zm00001d008298	expressed.endo	emp7	Zm00004b010435
Zm00001d008299	not.endo	bnl13.05a	Zm00004b024661
Zm00001d008300	not.endo		Zm00004b024662
Zm00001d008306	expressed.endo	AY109699	Zm00004b024664
Zm00001d008310	expressed.endo	ipp1	Zm00004b024666
Zm00001d008314	expressed.endo		Zm00004b024669
Zm00001d008316	expressed.endo		Zm00004b024670
Zm00001d008320	expressed.endo		Zm00004b024675
Zm00001d008321	expressed.endo		Zm00004b024676
Zm00001d008322	expressed.endo	c3h28	Zm00004b024677
Zm00001d008325	not.endo	fpf1	Zm00004b024679
Zm00001d008326	expressed.endo		Zm00004b024685
Zm00001d008327	expressed.endo	pza01623	Zm00004b024686
Zm00001d008330	expressed.endo		Zm00004b024688
Zm00001d008331	not.endo		Zm00004b024691
Zm00001d008333	expressed.endo		Zm00004b024692
Zm00001d008334	not.endo	pme14	Zm00004b024693
Zm00001d008338	expressed.endo	trps14	Zm00004b024695
Zm00001d008342	expressed.endo		Zm00004b024698
Zm00001d008343	not.endo		Zm00004b024699
Zm00001d008345	expressed.endo		Zm00004b024702
Zm00001d008346	not.endo	pmei15	Zm00004b024703
Zm00001d008347	not.endo		Zm00004b024704
Zm00001d008354	expressed.endo		Zm00004b024705
Zm00001d008355	not.endo		Zm00004b024706
Zm00001d008356	expressed.endo	c3h42	Zm00004b024707
Zm00001d008357	expressed.endo		Zm00004b024708
Zm00001d008359	not.endo		Zm00004b024711
Zm00001d008360	expressed.endo		Zm00004b024712
Zm00001d008363	expressed.endo		Zm00004b024715
Zm00001d008367	expressed.endo		Zm00004b024718
Zm00001d008369	expressed.endo		Zm00004b024719
Zm00001d008370	not.endo	ggps3	Zm00004b024720
Zm00001d008376	expressed.endo		Zm00004b024723
Zm00001d008377	expressed.endo		Zm00004b024724
Zm00001d008379	expressed.endo	cys1	Zm00004b024725
Zm00001d008380	expressed.endo		Zm00004b024726
Zm00001d008386	expressed.endo		Zm00004b024729
Zm00001d008387	expressed.endo	rps5	Zm00004b024730
Zm00001d008388	expressed.endo		Zm00004b024732
Zm00001d008389	expressed.endo		Zm00004b024733
Zm00001d008390	expressed.endo		Zm00004b024734
Zm00001d008393	expressed.endo		Zm00004b024736
Zm00001d008395	expressed.endo		Zm00004b024739
Zm00001d008396	expressed.endo		Zm00004b024740
Zm00001d008397	not.endo		Zm00004b024741
Zm00001d008398	expressed.endo		Zm00004b024742
Zm00001d008399	not.endo	nactf118	Zm00004b024743
Zm00001d008403	expressed.endo	nactf130	Zm00004b024747
Zm00001d008404	not.endo		Zm00004b024748
Zm00001d008406	expressed.endo		Zm00004b024750
Zm00001d008407	expressed.endo		Zm00004b024751
Zm00001d008408	not.endo		Zm00004b024752
Zm00001d008409	expressed.endo		Zm00004b024753
Zm00001d008411	expressed.endo		Zm00004b024754
Zm00001d008413	expressed.endo		Zm00004b024755
Zm00001d008422	expressed.endo		Zm00004b024764
Zm00001d008425	expressed.endo		Zm00004b024767
Zm00001d008427	not.endo	dxr2	Zm00004b024769
Zm00001d008428	expressed.endo		Zm00004b024770
Zm00001d008429	expressed.endo	sin2	Zm00004b024772
Zm00001d008430	expressed.endo		Zm00004b024773
Zm00001d008432	expressed.endo		Zm00004b024775
Zm00001d008433	expressed.endo	umc1483	Zm00004b024776
Zm00001d008435	expressed.endo		Zm00004b024778
Zm00001d008440	not.endo		Zm00004b024781
Zm00001d008449	not.endo		Zm00004b024788
Zm00001d008451	not.endo	umc2352a	Zm00004b024789
Zm00001d008453	not.endo		Zm00004b024791
Zm00001d008455	expressed.endo		Zm00004b024794
Zm00001d008457	not.endo		Zm00004b024796
Zm00001d008491	expressed.endo		Zm00004b024812
Zm00001d008494	not.endo		Zm00004b024815
Zm00001d008496	not.endo		Zm00004b024817
Zm00001d008499	not.endo		Zm00004b024822
Zm00001d008500	expressed.endo		Zm00004b024823
Zm00001d008502	expressed.endo		Zm00004b024825
Zm00001d008503	expressed.endo		Zm00004b024826
Zm00001d008512	expressed.endo		Zm00004b024834
Zm00001d008513	expressed.endo		Zm00004b024835
Zm00001d008517	expressed.endo		Zm00004b024839
Zm00001d008520	expressed.endo		Zm00004b024841
Zm00001d008523	not.endo		Zm00004b024843
Zm00001d008524	not.endo		Zm00004b024844
Zm00001d008526	not.endo		Zm00004b024845
Zm00001d008528	not.endo	myb22	Zm00004b024849
Zm00001d008531	expressed.endo		Zm00004b024852
Zm00001d008532	not.endo		Zm00004b024853
Zm00001d008535	not.endo		Zm00004b024854
Zm00001d008539	not.endo		Zm00004b024857
Zm00001d008546	expressed.endo	ereb118	Zm00004b024861
Zm00001d008548	not.endo	wip1	Zm00004b024862
Zm00001d008549	expressed.endo	phm9695	Zm00004b024863
Zm00001d008559	expressed.endo	crs2	Zm00004b024868
Zm00001d008562	not.endo		Zm00004b024870
Zm00001d008564	expressed.endo		Zm00004b024872
Zm00001d008567	expressed.endo	glct1	Zm00004b024873
Zm00001d008568	not.endo		Zm00004b024874
Zm00001d008569	expressed.endo		Zm00004b024875
Zm00001d008570	not.endo		Zm00004b024878
Zm00001d008578	not.endo	wrky49	Zm00004b024883
Zm00001d008579	not.endo		Zm00004b024884
Zm00001d008581	expressed.endo		Zm00004b024888
Zm00001d008587	not.endo		Zm00004b024891
Zm00001d008588	expressed.endo		Zm00004b024892
Zm00001d008591	expressed.endo		Zm00004b024894
Zm00001d008592	expressed.endo		Zm00004b024895
Zm00001d008594	expressed.endo		Zm00004b024896
Zm00001d008596	expressed.endo		Zm00004b024898
Zm00001d008597	expressed.endo		Zm00004b024899
Zm00001d008600	expressed.endo		Zm00004b024901
Zm00001d008601	not.endo	mybr18	Zm00004b024902
Zm00001d008602	expressed.endo	mybr21	Zm00004b024904
Zm00001d008604	expressed.endo		Zm00004b024906
Zm00001d008606	expressed.endo		Zm00004b024907
Zm00001d008610	expressed.endo	pco079267	Zm00004b024910
Zm00001d008611	expressed.endo		Zm00004b024911
Zm00001d008612	not.endo	hb26	Zm00004b024912
Zm00001d008613	expressed.endo		Zm00004b024913
Zm00001d008614	expressed.endo		Zm00004b024914
Zm00001d008617	expressed.endo		Zm00004b024915
Zm00001d008618	expressed.endo		Zm00004b024916
Zm00001d008619	expressed.endo	tpi3	Zm00004b024917
Zm00001d008620	expressed.endo		Zm00004b024919
Zm00001d008622	expressed.endo	gl26	Zm00004b024921
Zm00001d008623	expressed.endo		Zm00004b024922
Zm00001d008624	expressed.endo		Zm00004b024923
Zm00001d008625	expressed.endo		Zm00004b024924
Zm00001d008631	expressed.endo		Zm00004b024927
Zm00001d008635	not.endo		Zm00004b024931
Zm00001d008642	expressed.endo		Zm00004b024934
Zm00001d008645	not.endo		Zm00004b024936
Zm00001d008646	expressed.endo	alf12	Zm00004b024938
Zm00001d008648	expressed.endo		Zm00004b024939
Zm00001d008649	expressed.endo		Zm00004b024940
Zm00001d008650	not.endo		Zm00004b024941
Zm00001d008651	expressed.endo	pdc2	Zm00004b024942
Zm00001d008654	expressed.endo		Zm00004b024947
Zm00001d008656	expressed.endo		Zm00004b024948
Zm00001d008663	expressed.endo		Zm00004b024951
Zm00001d008664	not.endo		Zm00004b024952
Zm00001d008666	expressed.endo		Zm00004b024955
Zm00001d008669	expressed.endo		Zm00004b024958
Zm00001d008676	not.endo		Zm00004b024964
Zm00001d008679	expressed.endo		Zm00004b024965
Zm00001d008681	not.endo	GRMZM2G380414	Zm00004b024968
Zm00001d008689	expressed.endo	npi585a	Zm00004b024971
Zm00001d008690	expressed.endo		Zm00004b024974
Zm00001d008691	expressed.endo	atg18d	Zm00004b024975
Zm00001d008693	expressed.endo		Zm00004b024976
Zm00001d008695	not.endo	myb76	Zm00004b024977
Zm00001d008708	expressed.endo		Zm00004b024981
Zm00001d008716	not.endo		Zm00004b024983
Zm00001d008720	expressed.endo		Zm00004b024984
Zm00001d008721	not.endo		Zm00004b024985
Zm00001d008722	not.endo	cle26	Zm00004b024986
Zm00001d008724	expressed.endo		Zm00004b024987
Zm00001d008725	expressed.endo		Zm00004b024989
Zm00001d008726	expressed.endo		Zm00004b024990
Zm00001d008727	expressed.endo	pld2	Zm00004b024991
Zm00001d008731	expressed.endo		Zm00004b024994
Zm00001d008734	expressed.endo	bzip122	Zm00004b024997
Zm00001d008735	expressed.endo	c3h37	Zm00004b024998
Zm00001d008736	expressed.endo		Zm00004b024999
Zm00001d008739	expressed.endo	ocd1	Zm00004b025001
Zm00001d008743	expressed.endo		Zm00004b025005
Zm00001d008744	expressed.endo		Zm00004b025006
Zm00001d008748	expressed.endo		Zm00004b025008
Zm00001d008749	expressed.endo	bif1	Zm00004b025009
Zm00001d008752	expressed.endo	cdo328	Zm00004b025012
Zm00001d008757	expressed.endo		Zm00004b025016
Zm00001d008759	expressed.endo	umc1913	Zm00004b025017
Zm00001d008762	expressed.endo		Zm00004b025019
Zm00001d008763	expressed.endo		Zm00004b025020
Zm00001d008764	not.endo		Zm00004b025021
Zm00001d008782	expressed.endo		Zm00004b025032
Zm00001d008785	not.endo	ofp32	Zm00004b025034
Zm00001d008788	expressed.endo		Zm00004b025037
Zm00001d008789	expressed.endo		Zm00004b025038
Zm00001d008791	expressed.endo		Zm00004b025040
Zm00001d008792	not.endo		Zm00004b025041
Zm00001d008793	not.endo	wrky80	Zm00004b025042
Zm00001d008794	not.endo	wrky26	Zm00004b025043
Zm00001d008800	expressed.endo		Zm00004b025051
Zm00001d008803	not.endo		Zm00004b025052
Zm00001d008805	expressed.endo		Zm00004b025053
Zm00001d008808	not.endo	mybr24	Zm00004b025054
Zm00001d008816	expressed.endo		Zm00004b025059
Zm00001d008817	expressed.endo	nactf47	Zm00004b025060
Zm00001d008819	not.endo		Zm00004b025062
Zm00001d008820	expressed.endo	csu329	Zm00004b025063
Zm00001d008827	expressed.endo	umc124a(chk)	Zm00004b025066
Zm00001d008833	not.endo		Zm00004b025069
Zm00001d008837	not.endo		Zm00004b025071
Zm00001d008842	expressed.endo		Zm00004b025076
Zm00001d008843	not.endo		Zm00004b025077
Zm00001d008846	expressed.endo		Zm00004b025078
Zm00001d008847	expressed.endo	nfd110	Zm00004b025079
Zm00001d008849	not.endo		Zm00004b025081
Zm00001d008851	expressed.endo		Zm00004b025083
Zm00001d008852	expressed.endo		Zm00004b025084
Zm00001d008853	not.endo	bhlh62	Zm00004b025085
Zm00001d008858	expressed.endo		Zm00004b025089
Zm00001d008859	expressed.endo		Zm00004b025090
Zm00001d008862	not.endo	cko5	Zm00004b025092
Zm00001d008863	expressed.endo		Zm00004b025093
Zm00001d008865	expressed.endo		Zm00004b025095
Zm00001d008866	not.endo		Zm00004b025096
Zm00001d008870	expressed.endo		Zm00004b025102
Zm00001d008871	expressed.endo		Zm00004b025103
Zm00001d008872	not.endo	ereb186	Zm00004b025104
Zm00001d008874	expressed.endo		Zm00004b025105
Zm00001d008875	expressed.endo		Zm00004b025106
Zm00001d008881	not.endo		Zm00004b025114
Zm00001d008893	expressed.endo		Zm00004b025122
Zm00001d008898	expressed.endo		Zm00004b025124
Zm00001d008899	not.endo		Zm00004b025125
Zm00001d008900	expressed.endo		Zm00004b025127
Zm00001d008902	expressed.endo		Zm00004b025129
Zm00001d008906	expressed.endo		Zm00004b025131
Zm00001d008907	expressed.endo		Zm00004b025132
Zm00001d008909	not.endo	ga2ox9	Zm00004b025134
Zm00001d008910	not.endo		Zm00004b025135
Zm00001d008912	not.endo		Zm00004b025137
Zm00001d008916	expressed.endo		Zm00004b025141
Zm00001d008919	not.endo	tcptf24	Zm00004b025142
Zm00001d008922	expressed.endo		Zm00004b025143
Zm00001d008923	expressed.endo		Zm00004b025144
Zm00001d008924	not.endo	GRMZM2G423617	Zm00004b025145
Zm00001d008930	expressed.endo		Zm00004b025150
Zm00001d008932	expressed.endo		Zm00004b025152
Zm00001d008933	expressed.endo		Zm00004b025153
Zm00001d008934	not.endo		Zm00004b025154
Zm00001d008940	expressed.endo		Zm00004b025156
Zm00001d008941	expressed.endo	atx3	Zm00004b025157
Zm00001d008944	expressed.endo		Zm00004b025158
Zm00001d008946	not.endo		Zm00004b025161
Zm00001d008950	not.endo		Zm00004b025162
Zm00001d008951	expressed.endo		Zm00004b025163
Zm00001d008954	expressed.endo		Zm00004b025166
Zm00001d008956	not.endo		Zm00004b025168
Zm00001d008957	expressed.endo	aas10	Zm00004b025169
Zm00001d008960	not.endo		Zm00004b025172
Zm00001d008961	not.endo		Zm00004b025173
Zm00001d008962	expressed.endo		Zm00004b025174
Zm00001d008963	not.endo		Zm00004b025175
Zm00001d008965	expressed.endo		Zm00004b025176
Zm00001d008970	expressed.endo		Zm00004b025179
Zm00001d008974	expressed.endo		Zm00004b025182
Zm00001d008975	expressed.endo		Zm00004b025183
Zm00001d008976	expressed.endo		Zm00004b025184
Zm00001d008977	expressed.endo		Zm00004b025185
Zm00001d008980	not.endo		Zm00004b025187
Zm00001d008982	expressed.endo		Zm00004b025190
Zm00001d008984	expressed.endo	ras7B1	Zm00004b025192
Zm00001d008990	not.endo		Zm00004b025193
Zm00001d008991	not.endo		Zm00004b025201
Zm00001d008992	expressed.endo		Zm00004b025202
Zm00001d008996	expressed.endo		Zm00004b025207
Zm00001d008997	expressed.endo		Zm00004b025208
Zm00001d008998	expressed.endo		Zm00004b025209
Zm00001d008999	expressed.endo		Zm00004b025210
Zm00001d009000	expressed.endo		Zm00004b025211
Zm00001d009003	not.endo		Zm00004b025213
Zm00001d009004	expressed.endo		Zm00004b025214
Zm00001d009005	expressed.endo		Zm00004b025215
Zm00001d009007	expressed.endo	umc32b	Zm00004b025217
Zm00001d009008	not.endo		Zm00004b025218
Zm00001d009013	expressed.endo	bhlh99	Zm00004b025222
Zm00001d009014	expressed.endo		Zm00004b025223
Zm00001d009022	not.endo		Zm00004b025228
Zm00001d009023	expressed.endo		Zm00004b025230
Zm00001d009027	expressed.endo		Zm00004b025232
Zm00001d009029	expressed.endo		Zm00004b025234
Zm00001d009030	not.endo		Zm00004b025235
Zm00001d009031	not.endo		Zm00004b025236
Zm00001d009032	not.endo		Zm00004b025237
Zm00001d009057	not.endo		Zm00004b025264
Zm00001d009066	not.endo	myb90	Zm00004b025270
Zm00001d009071	not.endo	sweet17b	Zm00004b025272
Zm00001d009074	expressed.endo		Zm00004b025274
Zm00001d009077	expressed.endo		Zm00004b025276
Zm00001d009081	expressed.endo		Zm00004b025278
Zm00001d009082	not.endo		Zm00004b025279
Zm00001d009084	not.endo		Zm00004b025280
Zm00001d009097	not.endo		Zm00004b025285
Zm00001d009103	expressed.endo	ereb148	Zm00004b025291
Zm00001d009106	not.endo		Zm00004b025293
Zm00001d009108	expressed.endo		Zm00004b025294
Zm00001d009110	not.endo	invinh3	Zm00004b025296
Zm00001d009112	not.endo	bnlg2082	Zm00004b025298
Zm00001d009116	not.endo		Zm00004b025300
Zm00001d009117	expressed.endo		Zm00004b025301
Zm00001d009118	expressed.endo		Zm00004b025302
Zm00001d009121	not.endo		Zm00004b025303
Zm00001d009122	expressed.endo		Zm00004b025304
Zm00001d009125	expressed.endo		Zm00004b025309
Zm00001d009131	expressed.endo		Zm00004b025315
Zm00001d009132	expressed.endo		Zm00004b025317
Zm00001d009146	expressed.endo		Zm00004b025325
Zm00001d009147	expressed.endo		Zm00004b025326
Zm00001d009150	expressed.endo		Zm00004b025329
Zm00001d009152	not.endo		Zm00004b025331
Zm00001d009156	expressed.endo		Zm00004b025334
Zm00001d009160	expressed.endo		Zm00004b025337
Zm00001d009161	expressed.endo		Zm00004b025338
Zm00001d009163	expressed.endo	umc2353	Zm00004b025340
Zm00001d009178	not.endo		Zm00004b025348
Zm00001d009181	expressed.endo		Zm00004b025349
Zm00001d009182	expressed.endo	ech1	Zm00004b025350
Zm00001d009183	expressed.endo		Zm00004b025351
Zm00001d009187	not.endo		Zm00004b025356
Zm00001d009189	not.endo		Zm00004b025357
Zm00001d009193	expressed.endo	gata2	Zm00004b025358
Zm00001d009205	expressed.endo		Zm00004b025365
Zm00001d009210	expressed.endo		Zm00004b025368
Zm00001d009211	expressed.endo		Zm00004b025369
Zm00001d009212	expressed.endo		Zm00004b025370
Zm00001d009221	expressed.endo		Zm00004b025376
Zm00001d009222	not.endo		Zm00004b025377
Zm00001d009224	not.endo		Zm00004b025379
Zm00001d009226	expressed.endo		Zm00004b025381
Zm00001d009231	expressed.endo	parp1	Zm00004b025386
Zm00001d009233	expressed.endo	cl34021_1	Zm00004b025388
Zm00001d009236	expressed.endo		Zm00004b025390
Zm00001d009243	expressed.endo	mrpa6	Zm00004b025396
Zm00001d009260	expressed.endo		Zm00004b025406
Zm00001d009264	expressed.endo	thim1	Zm00004b025408
Zm00001d009270	expressed.endo		Zm00004b025411
Zm00001d009271	expressed.endo		Zm00004b025412
Zm00001d009288	expressed.endo		Zm00004b025428
Zm00001d009292	expressed.endo	fl3	Zm00004b025431
Zm00001d009295	not.endo		Zm00004b025433
Zm00001d009296	not.endo	prp1	Zm00004b025435
Zm00001d009309	expressed.endo		Zm00004b025438
Zm00001d009312	expressed.endo	chr126a	Zm00004b025441
Zm00001d009315	expressed.endo		Zm00004b025446
Zm00001d009317	expressed.endo		Zm00004b025448
Zm00001d009324	expressed.endo		Zm00004b025452
Zm00001d009339	expressed.endo		Zm00004b025462
Zm00001d009341	not.endo		Zm00004b025463
Zm00001d009349	not.endo		Zm00004b025466
Zm00001d009352	expressed.endo	umc120a	Zm00004b025468
Zm00001d009354	not.endo		Zm00004b025469
Zm00001d009359	expressed.endo	AY110113	Zm00004b025472
Zm00001d009362	not.endo		Zm00004b025475
Zm00001d009364	expressed.endo		Zm00004b025478
Zm00001d009365	expressed.endo	sweet2	Zm00004b025479
Zm00001d009372	not.endo		Zm00004b002474
Zm00001d009373	not.endo		Zm00004b025485
Zm00001d009374	expressed.endo		Zm00004b025486
Zm00001d009376	not.endo		Zm00004b025487
Zm00001d009382	not.endo	lea14	Zm00004b025488
Zm00001d009387	expressed.endo		Zm00004b025491
Zm00001d009396	expressed.endo	jmj1	Zm00004b025496
Zm00001d009398	not.endo		Zm00004b025499
Zm00001d009399	not.endo	npf8	Zm00004b025500
Zm00001d009401	expressed.endo	cl11333_1	Zm00004b025502
Zm00001d009403	expressed.endo		Zm00004b025505
Zm00001d009407	expressed.endo		Zm00004b025509
Zm00001d009409	expressed.endo		Zm00004b025510
Zm00001d009410	expressed.endo		Zm00004b025511
Zm00001d009411	expressed.endo		Zm00004b025512
Zm00001d009413	expressed.endo		Zm00004b025513
Zm00001d009417	expressed.endo		Zm00004b025515
Zm00001d009418	expressed.endo	pco118748	Zm00004b025519
Zm00001d009424	expressed.endo		Zm00004b025524
Zm00001d009425	not.endo		Zm00004b025525
